failure_type,Date,regime,model_name,feature_set,y_true,y_pred,y_pred_proba,signal,return_next_day,strategy_return_net,headline_count,vix,daily_text_snippet
classification_error,2009-02-23,2008-2009 financial crisis,Logit,all,1,0,0.0014368273125722,0,0.0290180673455933,0.0,1,52.62,Piotroski Profits
classification_error,2009-03-03,2008-2009 financial crisis,Logit,all,1,0,0.0011396555097827,0,0.0237531055677624,0.0,1,50.93,KKR Private Equity says holdings lost 32%
classification_error,2009-04-06,2008-2009 financial crisis,Logit,all,1,0,0.0032012347064445,0,0.0278283142624597,0.0,2,40.93,"Smooth Rough Returns With Covered Calls . With poor Q1 expected, analysts look for Q4 recovery"
classification_error,2009-05-07,2008-2009 financial crisis,Logit,all,1,0,0.0036646748888913,0,0.0020388146221581,0.0,1,33.44,Investors locking in stock gains
classification_error,2009-09-02,2008-2009 financial crisis,Logit,all,1,0,0.0038193902857107,0,0.0308017089721035,0.0,1,28.9,TSX closes barely in black but ends 2-day slide
classification_error,2009-09-14,2008-2009 financial crisis,Logit,all,1,0,0.0005177561820048,0,0.018506870985572,0.0,1,23.86,"The Financial Crisis: This Day—One Year Ago, Sept. 15, 2008"
classification_error,2009-11-12,2008-2009 financial crisis,Logit,all,1,0,0.0007797954177503,0,0.0057393031897281,0.0,1,24.24,Falling oil demand pushes down TSX by 79 points
classification_error,2009-11-13,2008-2009 financial crisis,Logit,all,1,0,0.0003752494984059,0,0.0116691663313457,0.0,3,23.36,Former Circuit City stores sold . Has the Whole World Gone Enron Mad? . The Power of Private Equity
classification_error,2009-11-27,2008-2009 financial crisis,Logit,all,1,0,0.0024378130473344,0,0.0077233872962647,0.0,1,24.85,TSX sputters to a close on Dubai debt news
classification_error,2009-12-03,2008-2009 financial crisis,Logit,all,1,0,0.0011480472546257,0,0.0030274929085751,0.0,1,22.46,The Inverse Relationship Between the Dollar and Stocks
classification_error,2009-12-10,2008-2009 financial crisis,Logit,all,1,0,0.0011019097342765,0,0.0106681181113077,0.0,1,22.32,CHART OF THE DAY: AOL's Sleepy First Day Of Trading
classification_error,2009-12-22,2008-2009 financial crisis,Logit,all,1,0,0.0018235694848665,0,0.0075132824099748,0.0,1,19.54,Good U.S. news help TSX close up 73 points
false_long_loss,2009-01-12,2008-2009 financial crisis,XGB,all,0,1,0.7038881182670593,1,-0.0747362857077195,-0.0748362857077195,1,45.84,U.S. Stocks Fall To Lows Of 2009; Dow Off 150-plus Points
false_long_loss,2011-08-05,Other,XGB,all,0,1,0.711748480796814,1,-0.0666344277876903,-0.0666344277876903,2,32.0,No regrets for this GIC-only investor . Wall St closes worst week since Nov '08 with wild day
false_long_loss,2020-03-06,2020 COVID shock,XGB,all,0,1,0.5999937653541565,1,-0.0759696807597977,-0.0759696807597977,5,41.94,"Every S&P 500 Stock Is Losing to 30-Year Treasuries . Fed Makes Emergency Rate Cut as Markets Tremble Over Coronavirus . If you invested $1,000 in Nordstrom 10 years ago, here's how much you'd have now . S&P 500 Price Forecast – Stock Markets Broke Down a Bit "
false_long_loss,2020-03-10,2020 COVID shock,Logit,all,0,1,0.5333945556886918,1,-0.048868410917935,-0.048868410917935,8,47.3,"8 Things to Know About Stock Market Corrections . Charting a technical breakdown, S&P 500 violates major support . First Wall Street Rapper Ro$$ Mac Details How to Maneuver the Coronavirus Financial Crisis . How To Play The 2020 Stock Market Crash: Like 1987, "
false_long_loss,2020-03-10,2020 COVID shock,XGB,all,0,1,0.5823879837989807,1,-0.048868410917935,-0.048968410917935,8,47.3,"8 Things to Know About Stock Market Corrections . Charting a technical breakdown, S&P 500 violates major support . First Wall Street Rapper Ro$$ Mac Details How to Maneuver the Coronavirus Financial Crisis . How To Play The 2020 Stock Market Crash: Like 1987, "
false_long_loss,2020-03-11,2020 COVID shock,Logit,all,0,1,0.5308731950746745,1,-0.0951126804747974,-0.0951126804747974,10,53.9,2007-2008 vs. 2020 Crisis Comparison: How Did United Parcel Service Stock Fare Compared with S&P 500? . 2008 Crisis vs. 2020 Coronavirus Comparison: How Did IBM Fare Compared With S&P 500? . Dow plunges 10% amid coronavirus fears for its worst day since the 19
false_long_loss,2020-03-11,2020 COVID shock,XGB,all,0,1,0.6550568342208862,1,-0.0951126804747974,-0.0951126804747974,10,53.9,2007-2008 vs. 2020 Crisis Comparison: How Did United Parcel Service Stock Fare Compared with S&P 500? . 2008 Crisis vs. 2020 Coronavirus Comparison: How Did IBM Fare Compared With S&P 500? . Dow plunges 10% amid coronavirus fears for its worst day since the 19
false_long_loss,2020-03-13,2020 COVID shock,Logit,all,0,1,0.5521079679315642,1,-0.1198405028365706,-0.1198405028365706,15,57.83,"After the Market's Worst Day in Decades, Where Do We Go From Here? (Published 2020) . Another Day, Another $2 Trillion Has Stock Traders Shuddering . How Long Does it Take to Make Your Money Back After a Bear Market? . S&P 500 Forward P/E Ratio Falls Below 10-"
false_long_loss,2020-03-13,2020 COVID shock,XGB,all,0,1,0.6107394695281982,1,-0.1198405028365706,-0.1198405028365706,15,57.83,"After the Market's Worst Day in Decades, Where Do We Go From Here? (Published 2020) . Another Day, Another $2 Trillion Has Stock Traders Shuddering . How Long Does it Take to Make Your Money Back After a Bear Market? . S&P 500 Forward P/E Ratio Falls Below 10-"
false_long_loss,2020-03-17,2020 COVID shock,Logit,all,0,1,0.5308437965702102,1,-0.0518308233070667,-0.0518308233070667,14,75.91,"Coronavirus: Stocks bounce as volatility continues . Dow and US stocks plunge again: Live updates . Dow drops 1,300 points, S&P 500 loses 5% as coronavirus market sell-off reaches new low . Financial Planning for Another 'Lost Decade' . Freeport-McMoRan Sheds "
false_long_loss,2020-03-17,2020 COVID shock,XGB,all,0,1,0.5186412930488586,1,-0.0518308233070667,-0.0518308233070667,14,75.91,"Coronavirus: Stocks bounce as volatility continues . Dow and US stocks plunge again: Live updates . Dow drops 1,300 points, S&P 500 loses 5% as coronavirus market sell-off reaches new low . Financial Planning for Another 'Lost Decade' . Freeport-McMoRan Sheds "
false_long_loss,2020-06-10,2020 COVID shock,Logit,all,0,1,0.5222718105882548,1,-0.0589441215746017,-0.0589441215746017,6,27.57,"Bitcoin Price Chart: Will BTC/USD Fall With S&P 500 Index? . Cboe Launches ESG Options . Does the ASX 200 just follow the US markets? . In Retreat, Wall Street Pulls Back From Rally (Published 2020) . Stocks suffer their worst day since March, with the Dow plu"
missed_rally,2009-01-23,2008-2009 financial crisis,Logit,all,1,0,0.0050497117000126,0,0.0506520824568783,-0.0001,1,47.27,"Wall Street set to fall on corporate, economic anxiety"
missed_rally,2009-01-23,2008-2009 financial crisis,XGB,all,1,0,0.1653065681457519,0,0.0506520824568783,-0.0001,1,47.27,"Wall Street set to fall on corporate, economic anxiety"
missed_rally,2009-02-02,2008-2009 financial crisis,Logit,all,1,0,0.0763445820214827,0,0.053850067842605,0.0,1,45.52,Stock Market Performance at the Mercy of Grim Corporate and Economic Data
missed_rally,2009-03-09,2008-2009 financial crisis,Logit,all,1,0,0.0269769615692405,0,0.1182800467089411,0.0,1,49.68,Chart: Historical Stock Market Comebacks After Crashes — My Money Blog
missed_rally,2009-03-09,2008-2009 financial crisis,XGB,all,1,0,0.2931625247001648,0,0.1182800467089411,-0.0001,1,49.68,Chart: Historical Stock Market Comebacks After Crashes — My Money Blog
missed_rally,2009-03-13,2008-2009 financial crisis,Logit,all,1,0,0.0047064005018113,0,0.0499636507831604,0.0,1,42.36,Barry Ritholtz's Monkey Theory
missed_rally,2009-03-13,2008-2009 financial crisis,XGB,all,1,0,0.1230469271540641,0,0.0499636507831604,0.0,1,42.36,Barry Ritholtz's Monkey Theory
missed_rally,2009-07-13,2008-2009 financial crisis,Logit,all,1,0,0.0136712296900516,0,0.0959214250041617,0.0,1,26.31,Ready for anything: Face to Face with Andrew Lo
missed_rally,2009-07-13,2008-2009 financial crisis,XGB,all,1,0,0.4295340776443481,0,0.0959214250041617,0.0,1,26.31,Ready for anything: Face to Face with Andrew Lo
missed_rally,2018-12-24,Other,XGB,all,1,0,0.33973029255867,0,0.049593807154098,0.0,4,36.07,All S&P 500 (SPX) Sectors Turn Negative for the Year . BTAL: The 'Anti-Beta' Strategy That's Helping Deliver Strong Returns While Mitigating Risk . Chart analyst sees a weeks-long relief rally in stocks that could offer selling opportunity . The stock market j
missed_rally,2020-03-09,2020 COVID shock,XGB,all,1,0,0.4877068102359772,0,0.0493963357800302,-0.0001,32,54.46,"10 Worst Days for S&P 500 and What Happened Next . 137% Increase in S&P 500 Companies Citing “ESG” on Earnings Calls in Q4 vs. Q3 . 4 Top Stock Trades for Tuesday: SPY, DIA, QQQ, IWM . As the S&P 500 wobbles, so do Donald Trump's approval ratings . Cash-out Re"
missed_rally,2020-04-03,2020 COVID shock,Logit,all,1,0,0.4967802809477751,0,0.0703313041207078,0.0,5,46.8,Catalysts For A Fibonacci Bound Market . S&P 500 Consumer Staples index trims loss in March as COVID-19 drives demand . S&P 500 Records 8th Largest Quarterly Decline in EPS Estimate Since 2002 for Q1 . The Booming Short-Volatility Bet That Lost 46% in a Single
